text,category
water is leaking from the kitchen tap,Plumbing
bathroom pipe is leaking badly,Plumbing
toilet is clogged and not flushing properly,Plumbing
no water supply in the house since morning,Plumbing
sink drain is blocked and water is not going down,Plumbing
there is a water leakage under the wash basin,Plumbing
shower head is leaking continuously,Plumbing
pipe burst in the bathroom wall,Plumbing
washroom tap is dripping water all night,Plumbing
water heater pipe connection is leaking,Plumbing
drainage pipe outside the house is broken,Plumbing
overhead tank is overflowing water,Plumbing
kitchen sink pipe joint is loose and leaking,Plumbing
toilet flush tank is not filling with water,Plumbing
water pressure is very low in all taps,Plumbing
power socket in the living room is not working,Electrical
ceiling fan is making noise and not spinning properly,Electrical
lights are flickering in the whole house,Electrical
there was a short circuit near the main switch board,Electrical
the fuse keeps tripping every few minutes,Electrical
wiring in the bedroom wall is exposed and sparking,Electrical
no electricity in the entire house since yesterday,Electrical
switch board caught fire near the kitchen,Electrical
tube light is not turning on even after changing the bulb,Electrical
inverter is not charging properly,Electrical
mcb trips whenever i switch on the geyser,Electrical
doorbell is not working needs new wiring,Electrical
outdoor lights are not switching on automatically,Electrical
electric meter is showing wrong readings,Electrical
extension board sparked while plugging in,Electrical
wooden door is not closing properly,Carpentry
cupboard hinge is broken and door is hanging,Carpentry
bed frame is broken and wobbly,Carpentry
wooden window frame has termites,Carpentry
dining table leg is broken,Carpentry
need new shelves fitted in the wardrobe,Carpentry
door lock is loose and not fitting well,Carpentry
wooden chair leg is cracked,Carpentry
kitchen cabinet doors are not aligned properly,Carpentry
need a wooden partition built in the hall,Carpentry
sliding wardrobe door is stuck,Carpentry
wooden staircase railing is loose,Carpentry
study table drawer is jammed and not opening,Carpentry
need new wooden flooring installed,Carpentry
old wooden furniture needs polishing and repair,Carpentry
ac is not cooling properly at all,AC Repair
air conditioner is making a loud noise,AC Repair
ac is leaking water from the indoor unit,AC Repair
ac remote is not responding,AC Repair
split ac compressor is not starting,AC Repair
ac gas needs to be refilled,AC Repair
window ac is blowing hot air instead of cold,AC Repair
ac filter needs cleaning and servicing,AC Repair
central ac unit stopped working suddenly,AC Repair
ac is producing a bad smell when switched on,AC Repair
outdoor unit fan of the ac is not rotating,AC Repair
ac display panel is not showing anything,AC Repair
ac tripping the mcb every time it starts,AC Repair
need annual ac servicing and gas check,AC Repair
ac is cooling only one room,AC Repair
need the living room walls repainted,Painting
exterior wall paint is peeling off,Painting
want to paint the entire house before diwali,Painting
ceiling has water stains that need to be painted over,Painting
ceiling paint is peeling due to dampness,Painting
need a fresh coat of paint for the bedroom,Painting
wall paint colour has faded and looks dull,Painting
need waterproof paint for the terrace,Painting
want to repaint the gate and grills,Painting
need putty work and painting for cracked walls,Painting
kitchen wall paint is stained with oil marks,Painting
need texture painting for the hall wall,Painting
old paint has started cracking and flaking,Painting
need painting done for a newly built room,Painting
want to change the colour theme of the house,Painting
washing machine is not spinning properly,Appliance Repair
refrigerator is not cooling at all,Appliance Repair
microwave oven stopped heating food,Appliance Repair
mixer grinder motor is making noise and not working,Appliance Repair
washing machine drum is making loud noise,Appliance Repair
refrigerator door is not sealing properly,Appliance Repair
geyser is not heating water,Appliance Repair
water purifier is leaking from the bottom,Appliance Repair
induction stove is not turning on,Appliance Repair
chimney is not sucking smoke properly,Appliance Repair
washing machine is not draining water,Appliance Repair
fridge compressor is making a buzzing sound,Appliance Repair
oven temperature is not accurate anymore,Appliance Repair
water purifier filter needs replacement,Appliance Repair
dishwasher is not cleaning dishes properly,Appliance Repair
need deep cleaning done for the entire house,Cleaning
sofa needs to be shampooed and cleaned,Cleaning
bathroom tiles have a lot of stains and mold,Cleaning
need someone to clean the water tank,Cleaning
kitchen chimney and exhaust need deep cleaning,Cleaning
carpet needs professional cleaning,Cleaning
need pest free deep cleaning before moving in,Cleaning
windows and glass doors need cleaning,Cleaning
need house cleaning after renovation work,Cleaning
bathroom needs a thorough scrub and cleaning,Cleaning
need the sofa and curtains dry cleaned,Cleaning
floor tiles have become dull need polishing and cleaning,Cleaning
need regular maid service for daily cleaning,Cleaning
attic and storeroom need cleaning and dusting,Cleaning
need car interior cleaning done,Cleaning
there are cockroaches all over the kitchen,Pest Control
termites have infested the wooden furniture,Pest Control
need pest control for bed bugs in the bedroom,Pest Control
ants are coming out from the kitchen cabinets,Pest Control
rats have infested the store room,Pest Control
mosquitoes are a big problem in the house,Pest Control
need fumigation done for the entire house,Pest Control
found termite mud tubes near the wooden almirah,Pest Control
spiders and webs everywhere in the storeroom,Pest Control
need pest control before moving into new house,Pest Control
lizards are a nuisance in the kitchen area,Pest Control
need annual pest control contract for the house,Pest Control
silverfish are damaging books and papers,Pest Control
found bed bugs in the mattress,Pest Control
need rodent control for the terrace area,Pest Control
